# x1 x2 x3
# 429 3
# 429 3
 0.00000000e+00  0.00000000e+00  4.00000000e-01
 1.00000000e+00 -1.22464680e-16  3.00000002e-01
 6.12323400e-17  1.00000000e+00  3.00000002e-01
-1.00000000e+00  1.22464680e-16  3.00000000e-01
-1.83697020e-16 -1.00000000e+00  3.00000000e-01
 1.00000000e-01  0.00000000e+00  3.98888889e-01
 2.00000000e-01  0.00000000e+00  3.96000000e-01
 3.00000000e-01  0.00000000e+00  3.90888889e-01
 4.00000000e-01  0.00000000e+00  3.84000000e-01
 5.00000000e-01  0.00000000e+00  3.74888890e-01
 6.00000000e-01  0.00000000e+00  3.64000001e-01
 7.00000000e-01  0.00000000e+00  3.50888890e-01
 8.00000000e-01  0.00000000e+00  3.36000001e-01
 9.00000000e-01  0.00000000e+00  3.18888891e-01
 9.95184727e-01  9.80171403e-02  2.99859501e-01
 9.80785280e-01  1.95090322e-01  2.99878504e-01
 9.56940336e-01  2.90284677e-01  2.99796679e-01
 9.23879533e-01  3.82683432e-01  2.99860457e-01
 8.81921264e-01  4.71396737e-01  2.99892279e-01
 8.31469612e-01  5.55570233e-01  2.99790441e-01
 7.73010453e-01  6.34393284e-01  2.99781917e-01
 7.07106781e-01  7.07106781e-01  2.99787881e-01
 6.34393284e-01  7.73010453e-01  2.99781917e-01
 5.55570233e-01  8.31469612e-01  2.99790441e-01
 4.71396737e-01  8.81921264e-01  2.99892279e-01
 3.82683432e-01  9.23879533e-01  2.99860457e-01
 2.90284677e-01  9.56940336e-01  2.99796679e-01
 1.95090322e-01  9.80785280e-01  2.99878504e-01
 9.80171403e-02  9.95184727e-01  2.99859501e-01
 5.51091060e-17  9.00000000e-01  3.18888891e-01
 4.89858720e-17  8.00000000e-01  3.36000001e-01
 4.28626380e-17  7.00000000e-01  3.50888890e-01
 3.67394040e-17  6.00000000e-01  3.64000001e-01
 3.06161700e-17  5.00000000e-01  3.74888890e-01
 2.44929360e-17  4.00000000e-01  3.84000000e-01
 1.83697020e-17  3.00000000e-01  3.90888889e-01
 1.22464680e-17  2.00000000e-01  3.96000000e-01
 6.12323400e-18  1.00000000e-01  3.98888889e-01
-9.80171403e-02  9.95184727e-01  2.99859501e-01
-1.95090322e-01  9.80785280e-01  2.99878504e-01
-2.90284677e-01  9.56940336e-01  2.99796679e-01
-3.82683432e-01  9.23879533e-01  2.99860456e-01
-4.71396737e-01  8.81921264e-01  2.99892278e-01
-5.55570233e-01  8.31469612e-01  2.99790440e-01
-6.34393284e-01  7.73010453e-01  2.99781916e-01
-7.07106781e-01  7.07106781e-01  2.99787880e-01
-7.73010453e-01  6.34393284e-01  2.99781915e-01
-8.31469612e-01  5.55570233e-01  2.99790439e-01
-8.81921264e-01  4.71396737e-01  2.99892277e-01
-9.23879533e-01  3.82683432e-01  2.99860455e-01
-9.56940336e-01  2.90284677e-01  2.99796677e-01
-9.80785280e-01  1.95090322e-01  2.99878502e-01
-9.95184727e-01  9.80171403e-02  2.99859499e-01
-9.00000000e-01  1.10218212e-16  3.18888889e-01
-8.00000000e-01  9.79717439e-17  3.36000000e-01
-7.00000000e-01  8.57252759e-17  3.50888889e-01
-6.00000000e-01  7.34788079e-17  3.64000000e-01
-5.00000000e-01  6.12323400e-17  3.74888889e-01
-4.00000000e-01  4.89858720e-17  3.84000000e-01
-3.00000000e-01  3.67394040e-17  3.90888889e-01
-2.00000000e-01  2.44929360e-17  3.96000000e-01
-1.00000000e-01  1.22464680e-17  3.98888889e-01
-9.95184727e-01 -9.80171403e-02  2.99859499e-01
-9.80785280e-01 -1.95090322e-01  2.99878502e-01
-9.56940336e-01 -2.90284677e-01  2.99796677e-01
-9.23879533e-01 -3.82683432e-01  2.99860455e-01
-8.81921264e-01 -4.71396737e-01  2.99892276e-01
-8.31469612e-01 -5.55570233e-01  2.99790438e-01
-7.73010453e-01 -6.34393284e-01  2.99781914e-01
-7.07106781e-01 -7.07106781e-01  2.99787879e-01
-6.34393284e-01 -7.73010453e-01  2.99781914e-01
-5.55570233e-01 -8.31469612e-01  2.99790438e-01
-4.71396737e-01 -8.81921264e-01  2.99892276e-01
-3.82683432e-01 -9.23879533e-01  2.99860455e-01
-2.90284677e-01 -9.56940336e-01  2.99796677e-01
-1.95090322e-01 -9.80785280e-01  2.99878502e-01
-9.80171403e-02 -9.95184727e-01  2.99859499e-01
-1.65327318e-16 -9.00000000e-01  3.18888889e-01
-1.46957616e-16 -8.00000000e-01  3.36000000e-01
-1.28587914e-16 -7.00000000e-01  3.50888889e-01
-1.10218212e-16 -6.00000000e-01  3.64000000e-01
-9.18485099e-17 -5.00000000e-01  3.74888889e-01
-7.34788079e-17 -4.00000000e-01  3.84000000e-01
-5.51091060e-17 -3.00000000e-01  3.90888889e-01
-3.67394040e-17 -2.00000000e-01  3.96000000e-01
-1.83697020e-17 -1.00000000e-01  3.98888889e-01
 9.80171403e-02 -9.95184727e-01  2.99859499e-01
 1.95090322e-01 -9.80785280e-01  2.99878502e-01
 2.90284677e-01 -9.56940336e-01  2.99796677e-01
 3.82683432e-01 -9.23879533e-01  2.99860455e-01
 4.71396737e-01 -8.81921264e-01  2.99892277e-01
 5.55570233e-01 -8.31469612e-01  2.99790439e-01
 6.34393284e-01 -7.73010453e-01  2.99781915e-01
 7.07106781e-01 -7.07106781e-01  2.99787880e-01
 7.73010453e-01 -6.34393284e-01  2.99781916e-01
 8.31469612e-01 -5.55570233e-01  2.99790440e-01
 8.81921264e-01 -4.71396737e-01  2.99892278e-01
 9.23879533e-01 -3.82683432e-01  2.99860456e-01
 9.56940336e-01 -2.90284677e-01  2.99796679e-01
 9.80785280e-01 -1.95090322e-01  2.99878504e-01
 9.95184727e-01 -9.80171403e-02  2.99859501e-01
 6.11629292e-01  6.76856554e-01  3.16655930e-01
 4.56899721e-01  9.09820945e-02  3.78137939e-01
 8.64958725e-02  4.50739524e-01  3.78761547e-01
 7.83323531e-01  4.68757796e-01  3.16570170e-01
 4.02075092e-01  8.33173650e-01  3.14291219e-01
 6.50942925e-01  7.58775442e-02  3.56918569e-01
 8.64642168e-02  2.50616333e-01  3.92797509e-01
 8.64460700e-02  6.50111409e-01  3.56812524e-01
 8.58377225e-01  3.17620623e-01  3.16102116e-01
 2.22037172e-01  8.86422078e-01  3.16304516e-01
 2.41075910e-01  8.99177456e-02  3.93173658e-01
 8.50000000e-01  8.66025404e-02  3.26823506e-01
 7.67890400e-02  8.49968900e-01  3.27024960e-01
 8.47904292e-02  7.49991066e-01  3.42861118e-01
 1.72422492e-01  7.00064481e-01  3.47799113e-01
