# x1 x2 x3
# 421 3
# 421 3
 0.00000000e+00  0.00000000e+00  3.00000000e-01
 1.00000000e+00 -1.22464680e-16  2.99999999e-01
 6.12323400e-17  1.00000000e+00  4.99999996e-01
-1.83697020e-16 -1.00000000e+00  1.00000000e-01
 1.00000000e-01  0.00000000e+00  3.00000000e-01
 2.00000000e-01  0.00000000e+00  3.00000000e-01
 3.00000000e-01  0.00000000e+00  3.00000000e-01
 4.00000000e-01  0.00000000e+00  3.00000000e-01
 5.00000000e-01  0.00000000e+00  2.99999999e-01
 6.00000000e-01  0.00000000e+00  2.99999999e-01
 7.00000000e-01  0.00000000e+00  2.99999999e-01
 8.00000000e-01  0.00000000e+00  2.99999999e-01
 9.00000000e-01  0.00000000e+00  2.99999999e-01
 9.95184727e-01  9.80171403e-02  3.19636334e-01
 9.80785280e-01  1.95090322e-01  3.39034676e-01
 9.56940336e-01  2.90284677e-01  3.58147109e-01
 9.23879533e-01  3.82683432e-01  3.76631156e-01
 8.81921264e-01  4.71396737e-01  3.94326659e-01
 8.31469612e-01  5.55570233e-01  4.11281744e-01
 7.73010453e-01  6.34393284e-01  4.27089070e-01
 7.07106781e-01  7.07106781e-01  4.41646298e-01
 6.34393284e-01  7.73010453e-01  4.54852019e-01
 5.55570233e-01  8.31469612e-01  4.66562609e-01
 4.71396737e-01  8.81921264e-01  4.76557627e-01
 3.82683432e-01  9.23879533e-01  4.84951288e-01
 2.90284677e-01  9.56940336e-01  4.91679364e-01
 1.95090322e-01  9.80785280e-01  4.96368202e-01
 9.80171403e-02  9.95184727e-01  4.99205559e-01
 5.51091060e-17  9.00000000e-01  4.62222219e-01
 4.89858720e-17  8.00000000e-01  4.27999997e-01
 4.28626380e-17  7.00000000e-01  3.98222220e-01
 3.67394040e-17  6.00000000e-01  3.71999998e-01
 3.06161700e-17  5.00000000e-01  3.50222221e-01
 2.44929360e-17  4.00000000e-01  3.31999999e-01
 1.83697020e-17  3.00000000e-01  3.18222221e-01
 1.22464680e-17  2.00000000e-01  3.08000000e-01
 6.12323400e-18  1.00000000e-01  3.02222222e-01
-1.69406916e-17 -9.22208297e-02  2.98088944e-01
-3.26315585e-17 -1.77637931e-01  2.93490804e-01
-4.71648045e-17 -2.56753237e-01  2.86703031e-01
-6.06258364e-17 -3.30031682e-01  2.78173976e-01
-7.30937577e-17 -3.97903884e-01  2.68307430e-01
-8.46418367e-17 -4.60768698e-01  2.57466758e-01
-9.53379376e-17 -5.18995560e-01  2.45978665e-01
-1.05244915e-16 -5.72926633e-01  2.34136629e-01
